model-id,support_type
ai21.jamba-1-5-large-v1:0,real-time only
ai21.jamba-1-5-mini-v1:0,real-time only
amazon.nova-canvas-v1:0,real-time only
amazon.nova-lite-v1:0,batch-supported
amazon.nova-micro-v1:0,batch-supported
amazon.nova-premier-v1:0,real-time only
amazon.nova-pro-v1:0,batch-supported
amazon.nova-reel-v1:0,real-time only
amazon.nova-reel-v1:1,real-time only
amazon.nova-sonic-v1:0,real-time only
amazon.rerank-v1:0,real-time only
amazon.titan-embed-text-v1,real-time only
amazon.titan-image-generator-v2:0,real-time only
amazon.titan-image-generator-v1,real-time only
amazon.titan-embed-image-v1,batch-supported
amazon.titan-embed-text-v2:0,batch-supported
amazon.titan-text-express-v1,real-time only
amazon.titan-text-lite-v1,real-time only
amazon.titan-text-premier-v1:0,real-time only
anthropic.claude-3-haiku-20240307-v1:0,batch-supported
anthropic.claude-3-opus-20240229-v1:0,batch-supported
anthropic.claude-3-sonnet-20240229-v1:0,batch-supported
anthropic.claude-3-5-haiku-20241022-v1:0,batch-supported
anthropic.claude-3-5-sonnet-20241022-v2:0,batch-supported
anthropic.claude-3-5-sonnet-20240620-v1:0,real-time only
anthropic.claude-3-7-sonnet-20250219-v1:0,real-time only
anthropic.claude-opus-4-20250514-v1:0,real-time only
anthropic.claude-sonnet-4-20250514-v1:0,real-time only
cohere.command-light-text-v14,real-time only
cohere.command-r-plus-v1:0,real-time only
cohere.command-r-v1:0,real-time only
cohere.command-text-v14,real-time only
cohere.embed-english-v3,real-time only
cohere.embed-multilingual-v3,real-time only
cohere.rerank-v3-5:0,real-time only
deepseek.r1-v1:0,real-time only
luma.ray-v2:0,real-time only
meta.llama3-8b-instruct-v1:0,real-time only
meta.llama3-70b-instruct-v1:0,real-time only
meta.llama3-1-8b-instruct-v1:0,batch-supported
meta.llama3-1-70b-instruct-v1:0,batch-supported
meta.llama3-1-405b-instruct-v1:0,batch-supported
meta.llama3-2-1b-instruct-v1:0,batch-supported
meta.llama3-2-3b-instruct-v1:0,batch-supported
meta.llama3-2-11b-instruct-v1:0,batch-supported
meta.llama3-2-90b-instruct-v1:0,batch-supported
meta.llama3-3-70b-instruct-v1:0,batch-supported
meta.llama4-maverick-17b-instruct-v1:0,batch-supported
meta.llama4-scout-17b-instruct-v1:0,batch-supported
mistral.mistral-7b-instruct-v0:2,real-time only
mistral.mistral-large-2402-v1:0,real-time only
mistral.mistral-large-2407-v1:0,batch-supported
mistral.mistral-small-2402-v1:0,batch-supported
mistral.mixtral-8x7b-instruct-v0:1,real-time only
mistral.pixtral-large-2502-v1:0,real-time only
stability.sd3-5-large-v1:0,real-time only
stability.stable-image-core-v1:1,real-time only
stability.stable-image-ultra-v1:1,real-time only
twelvelabs.marengo-embed-2-7-v1:0,real-time only
twelvelabs.pegasus-1-2-v1:0,real-time only
writer.palmyra-x4-v1:0,real-time only
writer.palmyra-x5-v1:0,real-time only
ai21.jamba-instruct-v1:0,real-time only
anthropic.claude-v2:1,real-time only
anthropic.claude-v2,real-time only
anthropic.claude-instant-v1,real-time only
anthropic.claude-instant-v1:2,real-time only
anthropic.claude-v2:0,real-time only
stability.sd3-large-v1:0,real-time only
stability.stable-diffusion-xl-v1,real-time only
stability.stable-image-core-v1:0,real-time only
stability.stable-image-ultra-v1:0,real-time only
